id,channel,title,duration,matched
_rOzNQhrsbA,Vihannah,AI Music Video - Lost City - MidJourney + Veo 3 + Suno,212,suno
3fUv0eB-vYI,AI Tune Trove,Ai Country Song - Never Walk Alone - Created With Suno Ai Pro,194,suno
jJDvuv8P3so,Synth CM,Udio AI - Wow I Didn't Know That (Country),197,udio
XfW-6ffs4gs,Nuclear Bum Records,Undercooked - UDIO AI song,262,udio
ZN-A2O4eXH8,BURNIN' BRIDGES Ai Music,BLACK WATER DAMNED (Official Music Video v1) BURNIN’ BRIDGES Ai Music,183,ai music
4MKAf6YX_7M,Sweaty Machines,a Eurovision song created by Artificial Intelligence: Blue Jeans and Bloody Tears,219,ai song
lUAKQEUGBmk,AlexTan1019,- made with SUNO AI Music Lyrics Video,271,suno
eFGLYaFSOBU,AlexTan1019,A02 - It's my time - made with SUNO AI Music Lyrics Video,207,suno
xEVZEDtRZHc,AlexTan1019,03   The Memories We've Made - made with SUNO AI Music Lyrics Video,248,suno
XUs6CznN8pw,Taryn Southern,Break Free - The First AI-Composed Pop Song | Lyrics by Taryn Southern,183,ai generated
U0U7wC1RjRU,AEROwave Original,Glass Heart - AI-Generated Music [Pop Rock],200,ai generated
mzRLrmI-JHM,Sauce Music,Big Yak – Flawed But Mine (Official AI Song),183,ai generated
FNqxSg2oMLQ,Kid Never Fold,"""Built From Pain""",183,ai generated
oXx4vngULb8,SagaHits,AI Generated Song - BOHEMIA | Rap Star Reloaded | Hip Hop Rap Song | New Punjabi Song 2024 #rsr,171,ai generated
_RT4POysDww,Rapper Rohit,Rapper Rohit - Cjp Protest | Jantar Mantar New Rap Song 2026  #cjpprotest #cjp,196,ai generated
MQGRuB7DEZ4,Camel Crew Records,Down at the Walmart | Delta Blues Rap | Gospel Stomp Fury #aimusic #WalmartSong,270,suno
GdKx4dEbBuQ,Politi Pop,Trump vs Iran: The ULTIMATE AI Rap Battle 🎤🔥,213,ai generated
f3LDEztRr28,New Style Music,Tere Mere Darmiyan 💔 | Romantic Heartbroken AI Song | Suno AI x Veo 3 Video,239,suno
tvcDWpytIiE,Synth CM,"Udio AI - I Really Hate It Here (1960s, funk)",131,udio
Pgy4JJ8yC_o,yimmbin,THIS SONG IS AI GENERATED (feat. GUMI SV),210,ai generated
FRqj-rYXpV8,Pantego Hummus ,"Made with Suno AI | ""Send Me a Baby"" | Sad Country Song",185,suno
5iLVZSEmMmk,Jessica Serbova,Skyline in my Eyes - Pop Trance - Made with Suno AI,233,suno
atx19QpBWr0,Suno Music,I Turned My Voice Into a Full Band | Pop Edition #2 (ft. Audriix),134,suno
KHSr80Rnm9k,AI Talk,YURI - SURREAL Completely AI-Generated Music Video | AI.TALK,178,ai generated
7b8_oHTwjiM,NayzenAI Studio,NEW RAP - AI Creates a New Rap Song 😱 | ChatGPT Lyrics | RAP GPT,140,ai generated
ayhqOgDm4iU,AI Music Remixer,Everything Changed - AI Rap Song | Hustle & Grind Motivation 2026,162,suno
UvTkLB1EjNA,Top Viewed Show,Ai Generated Full Rap Song,122,ai generated
JIpkMGqx9XU,Finders Studio,Hood Dreams: Ghetto Gods Returns 2025 | Rap Anthem Unfiltered,130,ai music
TBb2GQrl34Y,Rohan Tulpule,WHY SO SERIOUS 🎭 | Joker Rap Song (AI Generated) | Dark Trap Anthem Inspired by The Dark Knight,100,suno
EWhiSkV0p0Y,AiRapMusic,Neon Flow – Futuristic AI Rap Song (Official Visual),240,ai generated
yTJYy76tDUQ,THRONE TALK MUSIC,Never Fold | AI-Generated Faith Rap | Overcoming Pain Through Christ,162,ai generated
vRhH20VrXSY,MockTune AI,Brainrot Rap - Indian Song Episode 2  ( Official Music Video ),95,ai generated
nUPRju1z3Nc,Itz Yasin,Justice For Palestine- English Rap Song(AI Generated),230,ai generated
z1Tz52Uox7I,GTA Songs,GTA 6 Cinematic Music Video 🔥 AFTER DARK | AI English Rap Song (Official Visualizer),138,ai generated
7nXW485111c,Games McCay x AI projects,"Trump Gangster Rap: BIG BEAUTIFUL BILL – ""YOU PAY FOR IT"" | Trump AI rap song music",169,suno
Agrl6BGOWB8,DJ AI DROP,🇦🇱100 MILLION: AI GENERATED RAP SONG,141,ai generated
S8Du9aQGi-M,Laotian 12 in Numberverse!,HiT Entertainment (2007) - Full Theme (Udio AI),109,udio
MWLLIjOTqkE,Inside Edition,Country Song Hit 'Walk My Walk' Entirely Generated by AI,153,suno
6bOklwBi8Ek,Serene Video AI,Fantasy | Dreamlike | Daughters of the Pearlspire Palace [AI Music Video],203,suno
rZ4xI5ALY-o,AlexTan1019,11 - 👋🙋_♂️🙋_♀️✋ - made with SUNO AI Music Lyrics Video,210,suno
a3LsDstwUmo,T-Series,"""Suno Na Sangemarmar"" Youngistaan Full Song (Audio) Arijit Singh | Jackky Bhagnani, Neha Sharma",202,suno
T1DBDROsFyU,The Kevin Bennett,I MADE A RAP SONG USING AI 😳,287,ai generated
6byy_yWHoGg,My Pet Dog,RAP SONG/BURNING INSIDE/AI MUSIC VIDEOS,238,ai generated
7scIGsRCPwE,gBased,Can AI Make a Good RAP Song?! | AI Generated RAP Song (Kid was Killing),163,ai generated
CnxLs7TW2-0,Music World ,Why She | English Rap song | Break up song | AI Generated,207,suno
Zw460B40ycw,Shine Ai Music,Shine Ai Music - Listen to your heart,243,ai music
WwOGVY5_L5E,Ezra Frequency,Evanescence Style AI Song  BREAK THE GLASS Gothic Metal Anthem,255,suno
QAYYLeVytCc,Vestige,Only You  | Ai Generated AOR Rock Ballad #hardrock #rockmusic  #rock,260,ai generated
KhRkkNr-6V4,Biscuit Beats,I Ain’t Gay (Official Music Video),128,suno
nI2QKFN0gcA,Matt Koenig,Rodeo's Last Ride - Heartfelt AI-Generated Country Song,267,ai generated
b1x0wFo0Moo,AI Tune Trove,If I Hadn’t Loved You - Beautiful Heartfelt Ai Country Love Song,200,suno
2CCF75FN8O8,DARELS MUSIC,Life Is Still Beautiful - Country Song || Darel seran & Ai,291,ai music
rMmKQnGkKTQ,AI Harmonix,"🎶 The Older I Get, The Less I Care | A Hilarious Country Song About Kickin’ Back",155,ai generated
RA0WNcIYr8E,BURNIN' BRIDGES Ai Music,BLACK WATER DAMNED (Official Lyrics Video) BURNIN’ BRIDGES Ai Music,184,ai music
Mni7Peycs3Y,Country Song By AI,Beautiful Old Days - AI-Generated Country Song | Country Song by AI,186,ai generated
l_N-RHJETA0,Novonil,Bhir Er Majhe Full Song v4.5-all powered by Suno Music AI,195,suno
ZIuFWEc8GGI,Ron Suno,Ron Suno & Zay Munna - What They Gon Say (Official Video),147,suno
_XBVWlI8TsQ,Kaifi Khalil,Kaifi Khalil - Kahani Suno 2.0 [Official Music Video],174,suno
YqPkVAsVoIw,MusicFinder,Parade (Paprika) Old AI Song,102,ai song
Ms34P2-mVzs,gnarliez,[AI ORIGINAL] ‘EYEKONIC’ by GNARLIEZ (Lyrics Video),206,suno
Vx1UGA_T1nI,Kelly Boesch AI Art,"Surreal AI Music Video - ""A Very Unusual Town"" - Kelly Boesch | 4K",175,suno
g_dLP7PLHig,gnarliez,[AI ORIGINAL] 'POSING TO' by GNARLIEZ (Lyrics Video),187,suno
rihrFfJUkUU,gnarliez,[AI ORIGINAL] ‘WILD GUESS’ by GNARLIEZ (Lyrics Video),224,suno
mlf3HBj0pI8,Vestige,One More Night | AI Generated AOR Rock Ballad,193,ai generated
